Chart Week,Position,Artist,Title,Weeks on Chart,Peak Position,Last Position
2021-12-11,91,Lee Brice,Memory I Don't Mess With,18,33,87
2021-12-11,92,Eric Church,Heart On Fire,2,89,89
2021-12-11,93,Kelsea Ballerini Featuring Kenny Chesney,Half Of My Hometown,5,87,92
2021-12-11,94,Swedish House Mafia & The Weeknd,Moth To A Flame,6,27,84
2021-12-11,95,Jessie Murph,Always Been You,1,95,NULL
2021-12-11,96,Jonas Brothers,Who's In Your Head,6,92,98
2021-12-11,97,"Yung Bleu, Chris Brown & 2 Chainz",Baddest,17,56,95
2021-12-11,98,42 Dugg Featuring Future,Maybach,9,68,94
2021-12-11,99,Aventura x Bad Bunny,Volvi,17,22,93
2021-12-11,100,Summer Walker & JT,Ex For A Reason,5,33,90
