Chart Week,Position,Artist,Title,Streams
2021-12-02,92,Andy Williams,Happy Holiday / The Holiday Season,2234141
2021-12-02,93,Lil Uzi Vert,20 Min,2185643
2021-12-02,94,Juice WRLD,Lucid Dreams,2169265
2021-12-02,95,SZA,Good Days,2160967
2021-12-02,96,"Cochise, $NOT",Tell Em,2148064
2021-12-02,97,"Bing Crosby, The Andrews Sisters",Mele Kalikimaka - Single Version,2116357
2021-12-02,98,Dean Martin,"Baby, It's Cold Outside",2101456
2021-12-02,99,Adele,To Be Loved,2071382
2021-12-02,100,Mariah Carey,Christmas (Baby Please Come Home),2068052
2021-12-02,101,Adele,Cry Your Heart Out,2050476
2021-12-02,102,Trippie Redd,Miss The Rage (feat. Playboi Carti),2042071
2021-12-02,103,"Coldplay, BTS",My Universe,2040977
2021-12-02,104,Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",2022213
2021-12-02,105,Taylor Swift,Red (Taylor's Version),2020094
2021-12-02,106,Taylor Swift,All Too Well (Taylor's Version),2015607
2021-12-02,107,Summer Walker,No Love (with SZA),1996007
2021-12-02,108,Doja Cat,Ain't Shit,1994466
2021-12-02,109,Swedish House Mafia,Moth To A Flame (with The Weeknd),1994033
2021-12-02,110,Polo G,Martin & Gina,1992903
2021-12-02,111,Yot Club,YKWIM?,1992627
2021-12-02,112,Nat King Cole,Joy To The World,1988973
2021-12-02,113,Vince Guaraldi Trio,O Tannenbaum,1988109
2021-12-02,114,Juice WRLD,All Girls Are The Same,1981746
2021-12-02,115,Oliver Tree,Life Goes On,1975055
2021-12-02,116,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,1966327
2021-12-02,117,Emmy Meli,I AM WOMAN,1949928
2021-12-02,118,Vince Guaraldi Trio,Christmas Time Is Here - Vocal,1944687
2021-12-02,119,Travis Scott,ESCAPE PLAN,1943086
2021-12-02,120,Perry Como,(There's No Place Like) Home for the Holidays - 1959 Version,1926669
2021-12-02,121,Burl Ives,Rudolph The Red-Nosed Reindeer,1918597
2021-12-02,122,The Jackson 5,I Saw Mommy Kissing Santa Claus,1913292
2021-12-02,123,$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",1895901
2021-12-02,124,Beach House,Space Song,1884294
2021-12-02,125,Drake,Girls Want Girls (with Lil Baby),1882389
2021-12-02,126,Bad Bunny,Yonaguni,1870980
2021-12-02,127,Adele,Strangers By Nature,1870340
2021-12-02,128,Meek Mill,Sharing Locations (feat. Lil Baby & Lil Durk),1866146
2021-12-02,129,NLE Choppa,Jumpin (feat. Polo G),1866010
2021-12-02,130,Arctic Monkeys,505,1865783
2021-12-02,131,Jessie Murph,Always Been You,1864390
2021-12-02,132,Joy Again,Looking Out for You,1855866
2021-12-02,133,The Beach Boys,Little Saint Nick - 1991 Remix,1855424
2021-12-02,134,Giveon,Heartbreak Anniversary,1850963
2021-12-02,135,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),1838680
2021-12-02,136,The Killers,Mr. Brightside,1833887
2021-12-02,137,LISA,MONEY,1831297
2021-12-02,138,Ivan Cornejo,Está Dañada,1829853
2021-12-02,139,Adele,All Night Parking (with Erroll Garner) Interlude,1829823
2021-12-02,140,Young Thug,Bubbly (with Drake & Travis Scott),1821623
2021-12-02,141,Post Malone,Circles,1815408
2021-12-02,142,The Neighbourhood,Daddy Issues,1809282
2021-12-02,143,Lil Tecca,LOT OF ME,1804468
2021-12-02,144,Olivia Rodrigo,favorite crime,1804205
2021-12-02,145,Doja Cat,Streets,1800235
2021-12-02,146,Elton John,Step Into Christmas,1787558
2021-12-02,147,Joji,SLOW DANCING IN THE DARK,1783863
2021-12-02,148,Mac Miller,The Spins,1781196
2021-12-02,149,Kali Uchis,telepatía,1780647
2021-12-02,150,Machine Gun Kelly,my ex's best friend (with blackbear),1774871
2021-12-02,151,"Gunna, Future",Too Easy,1770812
2021-12-02,152,"Bad Bunny, Jhay Cortez",DÁKITI,1768469
2021-12-02,153,The Weeknd,Save Your Tears,1767558
2021-12-02,154,The Weeknd,Die For You,1759348
2021-12-02,155,Kanye West,Hurricane,1756881
2021-12-02,156,Lil Uzi Vert,XO Tour Llif3,1755428
2021-12-02,157,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),1753448
2021-12-02,158,Morgan Wallen,Wasted On You,1752541
2021-12-02,159,Kodak Black,Super Gremlin,1751728
2021-12-02,160,Sia,Snowman,1750776
2021-12-02,161,"Tyler, The Creator",See You Again (feat. Kali Uchis),1739776
2021-12-02,162,Frank Sinatra,Mistletoe And Holly - Remastered 1999,1733937
2021-12-02,163,Juice WRLD,Come & Go (with Marshmello),1731053
2021-12-02,164,Conan Gray,Heather,1722537
2021-12-02,165,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,1720921
2021-12-02,166,Harry Styles,Watermelon Sugar,1719579
2021-12-02,167,Vundabar,Alien Blues,1719358
2021-12-02,168,Will Paquin,Chandelier,1707168
2021-12-02,169,XXXTENTACION,Jocelyn Flores,1697827
2021-12-02,170,Bing Crosby,Do You Hear What I Hear? - Remastered 2006,1693875
2021-12-02,171,Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),1680643
2021-12-02,172,Adele,Hold On,1676096
2021-12-02,173,Adele,Woman Like Me,1670789
2021-12-02,174,24kGoldn,Mood (feat. iann dior),1643373
2021-12-02,175,Donny Hathaway,This Christmas,1638378
2021-12-02,176,Juice WRLD,Wishing Well,1637977
2021-12-02,177,Juice WRLD,Robbery,1635714
2021-12-02,178,Eagles,Please Come Home for Christmas - 2013 Remaster,1632735
2021-12-02,179,Billie Eilish,Happier Than Ever - Edit,1629682
2021-12-02,180,Tate McRae,feel like shit,1628444
2021-12-02,181,"Kendrick Lamar, Jay Rock",Money Trees,1608921
2021-12-02,182,Fleetwood Mac,Dreams - 2004 Remaster,1607951
2021-12-02,183,Benson Boone,GHOST TOWN,1605641
2021-12-02,184,Siouxxie,masquerade,1603569
2021-12-02,185,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),1601330
2021-12-02,186,J. Cole,She Knows (feat. Amber Coffman & Cults),1601256
2021-12-02,187,Lil Baby,Drip Too Hard (Lil Baby & Gunna),1590986
2021-12-02,188,Adele,Love Is A Game,1570523
2021-12-02,189,Playboi Carti,Shoota (feat. Lil Uzi Vert),1570317
2021-12-02,190,Judy Garland,Have Yourself A Merry Little Christmas,1564720
2021-12-02,191,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",1561491
2021-12-02,192,"Kid Cudi, MGMT, Ratatat",Pursuit Of Happiness (Nightmare),1560133
2021-12-02,193,Lil Peep,Star Shopping,1559647
2021-12-02,194,"Lil Tjay, 6LACK",Calling My Phone,1550042
2021-12-02,195,Travis Scott,goosebumps,1544225
2021-12-02,196,Olivia Rodrigo,happier,1538438
2021-12-02,197,Morgan Wallen,Whiskey Glasses,1533823
2021-12-02,198,ROSALÍA,LA FAMA (with The Weeknd),1528274
2021-12-02,199,Kanye West,Moon,1526944
2021-12-02,200,Morgan Wallen,Sand In My Boots,1522615
