Chart Week,Position,Artist,Title,Streams
2021-09-23,100,Trippie Redd,Rich MF (feat. Polo G & Lil Durk),2116676
2021-09-23,101,J. Cole,She Knows (feat. Amber Coffman & Cults),2114648
2021-09-23,102,Olivia Rodrigo,happier,2099362
2021-09-23,103,Polo G,Martin & Gina,2089718
2021-09-23,104,Rauw Alejandro,Todo De Ti,2073141
2021-09-23,105,Kali Uchis,telepatía,2054690
2021-09-23,106,Juice WRLD,All Girls Are The Same,2020900
2021-09-23,107,Juice WRLD,Come & Go (with Marshmello),2018511
2021-09-23,108,Lil Uzi Vert,20 Min,2013453
2021-09-23,109,DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),1999914
2021-09-23,110,The Killers,Mr. Brightside,1980598
2021-09-23,111,Harry Styles,Watermelon Sugar,1963587
2021-09-23,112,"Jack Harlow, Pooh Shiesty",SUVs (Black on Black),1961305
2021-09-23,113,"J Balvin, Skrillex",In Da Getto,1950318
2021-09-23,114,Fleetwood Mac,Dreams - 2004 Remaster,1931242
2021-09-23,115,Kacey Musgraves,breadwinner,1928478
2021-09-23,116,"Bad Bunny, Jhay Cortez",DÁKITI,1907267
2021-09-23,117,Kanye West,Praise God,1903522
2021-09-23,118,Juice WRLD,Lucid Dreams,1888939
2021-09-23,119,WILLOW,Wait a Minute!,1871218
2021-09-23,120,Drake,7am On Bridle Path,1869367
2021-09-23,121,"ScHoolboy Q, Kendrick Lamar",Collard Greens,1862211
2021-09-23,122,"Blueface, Og BobBillions",Outside (Better Days),1861082
2021-09-23,123,Drake,Race My Mind,1859826
2021-09-23,124,Beach House,Space Song,1848339
2021-09-23,125,The Neighbourhood,Daddy Issues,1847480
2021-09-23,126,Masked Wolf,Astronaut In The Ocean,1845731
2021-09-23,127,Sueco,Paralyzed,1827274
2021-09-23,128,Clinton Kane,I GUESS I'M IN LOVE,1823075
2021-09-23,129,Billie Eilish,Happier Than Ever - Edit,1820076
2021-09-23,130,CKay,love nwantiti (ah ah ah),1813898
2021-09-23,131,Doja Cat,Streets,1812919
2021-09-23,132,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",1801665
2021-09-23,133,J. Cole,Work Out,1801494
2021-09-23,134,Jack Harlow,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",1800764
2021-09-23,135,Juice WRLD,Wishing Well,1789806
2021-09-23,136,BØRNS,Electric Love,1788784
2021-09-23,137,"Jordan Davis, Luke Bryan",Buy Dirt,1783163
2021-09-23,138,Lil Tecca,LOT OF ME,1778165
2021-09-23,139,Lil Uzi Vert,XO Tour Llif3,1776378
2021-09-23,140,Joji,SLOW DANCING IN THE DARK,1775583
2021-09-23,141,"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),1774592
2021-09-23,142,J. Cole,m y . l i f e (with 21 Savage & Morray),1772363
2021-09-23,143,Travis Scott,goosebumps,1759875
2021-09-23,144,Cage The Elephant,Cigarette Daydreams,1741743
2021-09-23,145,Saweetie,Best Friend (feat. Doja Cat),1740320
2021-09-23,146,Conan Gray,Heather,1737322
2021-09-23,147,Trippie Redd,Matt Hardy 999 (feat. Juice WRLD),1735418
2021-09-23,148,XXXTENTACION,Jocelyn Flores,1728902
2021-09-23,149,Arctic Monkeys,505,1727417
2021-09-23,150,"Kendrick Lamar, Jay Rock",Money Trees,1716695
2021-09-23,151,Luke Combs,Forever After All,1706689
2021-09-23,152,DaBaby,Ball If I Want To,1706619
2021-09-23,153,"Lil Tjay, 6LACK",Calling My Phone,1703053
2021-09-23,154,"Kid Cudi, MGMT, Ratatat",Pursuit Of Happiness (Nightmare),1697819
2021-09-23,155,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),1696990
2021-09-23,156,The Kid LAROI,WITHOUT YOU,1695296
